v1,v2
ham,"Let's grab coffee sometime next week, I'm free after 11:15am"
ham,"Great job on the presentation today, the team loved it"
ham,Your package was delivered to the front desk this morning
ham,Happy anniversary! Wishing you both many more happy years
ham,"The weather looks great this weekend, perfect for a hike"
ham,"Hey, are we still on for lunch tomorrow at noon?"
ham,"I'll pick up the kids from school today, no need to worry"
spam,FINAL NOTICE: Your car warranty is about to expire. Call 90210 now to renew and save
spam,You've qualified for a government grant of $100. Claim it now by calling 90210
ham,"The weather looks great this weekend, perfect for a hike"
spam,"New message waiting! Someone has a crush on you, find out who at www.claim-prize.com now"
spam,Your Netflix account is on hold. Update your payment info now at www.winbig-now.net to keep watching
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
spam,You have been selected to receive a FREE TV! Reply YES to claim your gift now !!!
spam,FINAL NOTICE: Your car warranty is about to expire. Call 90210 now to renew and save
ham,Let me know if you need anything else from me for the report
ham,Don't forget to pick up milk on your way home
ham,Reminder: Your dentist appointment is on Tuesday at 11:15am
spam,"Claim your FREE MacBook Pro now! No purchase necessary, just click http://free-cash-now.info and enter your details"
ham,Can we catch up this weekend? It's been a while
ham,"The weather looks great this weekend, perfect for a hike"
ham,Can you review my code before I push it to production?
ham,Don't forget to pick up milk on your way home
spam,"Dear customer, your bank account needs verification. Click www.unlock-account.co or your card will be blocked"
ham,Are you free to talk on the phone for a few minutes?
spam,Your Amazon order could not be delivered. Confirm your address at secure-verify-account.com to reschedule
spam,Text STOP to unsubscribe or reply YES to claim your $50 cash prize instantly !!!
ham,Just wanted to check if you got home safe
spam,You've qualified for a government grant of $2500. Claim it now by calling 09061234567
spam,"Hot singles in your area are waiting to chat with you! Click bit.ly/free-gift now, 100% free"
ham,Happy birthday! Hope you have a wonderful day
ham,Can you call me back when you get a chance?
ham,"Hey, are we still on for lunch tomorrow at 10am?"
ham,"Just checking in, how did the interview go?"
ham,"I'll pick up the kids from school today, no need to worry"
ham,"Thanks for your help earlier, really appreciate it"
spam,Your Amazon order could not be delivered. Confirm your address at bit.ly/free-gift to reschedule
ham,"Thanks for the birthday wishes, means a lot to me"
ham,"I'll be there in about 10 minutes, traffic is a bit heavy"
ham,"The weather looks great this weekend, perfect for a hike"
ham,Can you call me back when you get a chance?
ham,Are you free to talk on the phone for a few minutes?
